日付,時刻,曜日,プロジェクト名,コミットID,作業内容,変更ファイル数,追加行数,削除行数,推定作業時間（分）,時間外,休日,深夜,作業者名
2024-07-03,00:00:00,,samurai-terakoya,,Create tera.txt,1,1,0,1.6,○,,○,Sekine53629
2024-07-03,00:00:00,,samurai-terakoya,,Update tera.txt,1,1,0,1.6,○,,○,Sekine53629
2024-07-03,00:00:00,,samurai-terakoya,,Delete tera.txt,1,0,2,1.6,○,,○,Sekine53629
2024-07-03,00:00:00,,samurai-terakoya,,Add orange.png,1,0,0,1.5,○,,○,Sekine53629
2024-07-03,00:00:00,,samurai-terakoya,,Add kadai_005,2,14,0,3.3,○,,○,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Add files via upload,2,13,0,3.3,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Add files via upload,2,19,0,3.7,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Merge pull request #1 from ravikla3575s/fix,2,19,0,3.7,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Add files via upload,1,1,1,1.6,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Add files via upload,1,7,1,2.1,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Merge pull request #2 from ravikla3575s/fix,1,7,1,2.1,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Update bmi.js,1,3,3,1.8,,,,Sekine53629
2024-07-11,00:00:00,,javascript-basic-kadai,,Delete kadai_005/kadai_005 directory,2,0,19,2.9,,,,Sekine53629
2024-07-17,00:00:00,,practice,,Add files via upload,47,266,0,56.6,○,,,Sekine53629
2024-07-18,00:00:00,,practice,,集約,2,212,16,18.8,○,,○,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,7章 課題提出,3,25,0,4.9,○,,○,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,９章課題提出,3,19,3,4.6,,,,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,Update holiday.js,1,8,0,2.1,,,,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,MDN課題提出,3,21,3,4.7,○,,,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,fix,1,10,3,2.4,○,,,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,14章課題提出,2,21,0,3.9,○,,,Sekine53629
2024-07-23,00:00:00,,javascript-basic-kadai,,再提出,1,2,2,1.7,○,,○,Sekine53629
2024-07-24,00:00:00,,javascript-basic-kadai,,fix,1,1,1,1.6,○,,○,Sekine53629
2024-07-28,00:00:00,,atcoder-practice,,Initial commit,2,146,0,13.4,,○,,Sekine53629
2024-07-29,00:00:00,,atcoder-practice,,ビット演算,1,14,137,6.7,○,,○,Sekine53629
2024-07-29,00:00:00,,atcoder-practice,,ビット演算,1,0,0,1.5,○,,○,Sekine53629
